fips	total	salaries	benefits	instruction	instruction_salaries	instruction_benefits	support	pupil_support	staff_support	general_admin	school_admin
21127	9030	5565	1957	5063	3613	1151	3444	279	738	169	437
21129	9729	5862	2352	4863	3328	1221	4152	496	712	469	684
21131	10525	6113	2455	5485	3770	1369	4375	542	477	244	577
21133	9620	5818	2347	5288	3654	1293	3759	595	385	276	479
21135	8855	5370	2124	4860	3306	1253	3341	463	196	302	623
21137	9384	5698	2255	5965	4048	1595	2877	369	390	121	422
21139	9770	5780	2316	6023	4046	1471	3109	233	410	352	501
21141	8975	5319	2085	5190	3556	1378	3205	372	514	195	484
21143	9060	5608	2173	5123	3534	1391	3444	368	604	461	538
21145	9015	5451	2016	5355	3753	1250	3059	304	303	335	504
21147	9955	6002	2438	5893	3871	1507	3425	517	336	338	466
21149	8757	5330	2015	4946	3498	1268	3193	333	333	386	572
21151	8706	5124	1918	5303	3504	1193	2885	482	441	159	368
21153	9672	5994	2342	5147	3783	1222	3921	537	583	302	674
21155	8654	5385	1970	5738	3950	1433	2280	238	220	196	376
21157	9108	5497	2136	5610	3948	1360	2923	366	283	329	410
21159	10077	6060	2529	5567	3863	1380	3890	660	555	422	369
21161	8822	5482	1988	5620	3980	1361	2588	259	230	273	368
21163	8073	5045	1887	4954	3341	1434	2605	482	254	197	333
21165	10324	6368	2561	5932	3889	1783	3696	796	345	356	459
21167	8486	5196	1967	5107	3580	1236	2826	284	312	300	483
21169	10402	6198	2477	5864	3886	1465	3803	803	363	374	635
21171	10818	6511	2645	5896	3987	1511	4092	606	596	223	717
21173	8277	5008	1932	5181	3551	1340	2541	330	367	246	262
21175	9151	5303	2175	4773	3268	1288	3678	433	427	283	480
21177	9985	6241	2297	6325	4457	1626	3112	270	182	248	433
21179	8522	5437	1947	4815	3522	1126	3164	420	361	268	516
21181	8206	4841	1970	4593	3205	1055	3045	239	289	565	440
21183	8355	5004	2045	4613	3246	1187	3223	297	419	118	455
21185	8486	5460	1976	5181	3554	1350	2956	499	404	134	500
21187	8923	5458	2072	5234	3618	1321	3143	312	287	194	571
21189	12796	7148	3160	7595	4775	1823	4233	433	621	446	522
21191	8637	5275	2057	4738	3395	1160	3268	339	455	343	391
21193	9325	5695	2153	5474	3830	1353	3252	393	345	268	477
21195	9140	5635	2136	4871	3606	1094	3540	390	488	267	452
21197	8820	5257	2054	5161	3490	1339	3056	273	502	477	510
21199	8716	5421	2133	5635	3704	1602	2528	378	343	273	317
21201	10810	6708	2559	6333	4463	1504	3755	435	303	1121	521
21203	9190	5757	2226	5727	3946	1490	2900	414	438	211	398
21205	8757	5355	2058	5362	3806	1252	2853	323	194	252	387
21207	9270	5730	2286	5212	3731	1319	3376	644	421	242	493
21209	7843	5154	1757	4625	3359	1016	2660	484	355	112	418
21211	8900	5688	1994	5311	3787	1245	3098	367	553	216	460
21213	8775	5325	2076	5486	3697	1379	2752	367	339	209	503
21215	7680	4808	1734	4264	2999	1035	2956	377	417	214	440
21217	9109	5675	2150	5721	3949	1401	2852	269	403	358	387
21219	8983	5344	2185	4661	3265	1287	3704	476	575	293	631
21221	8741	5402	2059	4732	3365	1153	3488	471	668	389	454
21223	9030	5547	1988	5270	3642	1243	3120	326	289	317	525
21225	9766	5809	2397	5106	3585	1304	3989	442	384	451	733
21227	8405	5098	1982	5324	3636	1383	2518	239	249	112	390
21229	9607	5977	2185	5619	3923	1311	3421	415	318	511	547
