Player	Rank	Position	Team	Fantasy Team	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Jrue Holiday	46	PG	NO	FOOSHBAGS	1.737301292	-0.242906582	0.334234744	-0.188533879	0.110812815	-0.327645755	2.410966869	1.531573995	-0.251267279	-1.639933635	0.447	0.81	0.9	14.3	4.2	7.9	1.6	0.4	3.1
Wesley Matthews	47	SG	POR	Jesse's Neat Team	1.718964409	-0.359129827	0.600911401	1.822494168	0.579507499	-0.592945962	-0.287510498	-0.092822666	-0.642344755	0.690805049	0.441	0.837	2.5	16.4	3.5	2.4	0.9	0.2	1.3
Pau Gasol	48	PF	LAL	Full-On Splits	1.713363844	0.396321265	-0.396656835	-1.194047903	0.802695443	1.756855869	0.203121751	-1.02104933	1.899658842	-0.733535258	0.48	0.736	0.1	17.4	9.7	3.4	0.5	1.5	2.4
Marc Gasol	49	C	MEM	FOOSHBAGS	1.71047476	0.260727479	-0.080595612	-1.319737156	0.177769198	0.809355131	0.301248201	0.139234	1.508581365	-0.086107846	0.473	0.768	0	14.6	7.2	3.6	1	1.3	1.9
Kemba Walker	50	PG	CHA	Jesse's Neat Team	1.695462424	-1.288915786	0.600911401	0.565601638	0.869651827	-0.327645755	1.527828821	0.603347331	-0.251267279	-0.604049775	0.393	0.837	1.5	17.7	4.2	6.1	1.2	0.4	2.3
Dwyane Wade	51	SG	MIA	Jason's Neat Team	1.680894991	1.655406418	-0.426287575	-1.06835865	1.159796155	-0.213945667	0.840943674	1.299517329	-0.05572854	-1.510448152	0.545	0.733	0.2	19	4.5	4.7	1.5	0.5	3
Eric Bledsoe	52	PG	PHX	Jason's Neat Team	1.636474633	0.338209643	-0.041087959	0.188533879	0.869651827	-0.138145608	1.233449472	1.531573995	-0.446806017	-1.8989046	0.477	0.772	1.2	17.7	4.7	5.5	1.6	0.3	3.3
Rudy Gay	53	SF	SAC/TOR	Full-On Splits	1.597984107	-0.087942255	0.452757703	-0.188533879	1.3829841	0.354554776	-0.042194373	0.835403997	0.530887674	-1.639933635	0.455	0.822	0.9	20	6	2.9	1.3	0.8	3.1
Deron Williams	54	PG	BKN	Derp Squad	1.513352893	-0.184794959	0.245342525	0.565601638	0.110812815	-0.934046228	1.527828821	1.299517329	-0.642344755	-0.474564293	0.45	0.801	1.5	14.3	2.6	6.1	1.5	0.2	2.2
Marcin Gortat	55	C	WSH	Full-On Splits	1.48342207	1.597294796	-0.890502497	-1.319737156	-0.134693925	1.68105581	-0.630953071	-1.02104933	1.899658842	0.302348601	0.542	0.686	0	13.2	9.5	1.7	0.5	1.5	1.6
