Title	Artist	BPM	Key	Import Date
Strictly 4 My Jeeps	Action Bronson	97.199		2013/5/28
When The Rain Is Gone	Adam F	144.002		2012/11/10
Footcrab VIP	Addison Groove	138.002		2011/1/19
Rolling in the Deep	Adele	104.999		2011/2/25
Set Fire To The Rain (AYB Remix)	Adele	139.998		2012/5/25
Can't Be Done	ADG	97.993		2011/1/19
Welcome 2 Da One Man Movement	ADG	165.89	Bbm	2011/1/19
Creepin	ADG	156		2011/3/24
Dumb Out (Freestyle)	ADG	94.9841	Gm	2011/10/2
Hail Mary (Freestyle)	ADG	163.271	F	2011/10/2
Heavenly Divine (Freestyle)	ADG	91.547		2011/10/2
Hero (Cover)	ADG	95.004		2010/3/19
If I Die (Freestyle)	ADG	154.998		2011/10/2
Miss Me (Freestyle)	ADG	154.004		2011/3/24
Never Back Down	ADG	154.19		2011/10/2
Veteran's Day (Freestyle)	ADG	144.001		2011/10/2
Whatever It Takes	ADG	172	Ebm	2011/1/19
Drop	ADG & Psychotic	102.611		2011/5/15
Six Four	Adroa	140		2011/10/10
Need Your Heart	Adventure Club	140		2012/7/17
Do I See Color	Adventure Club	140		2012/2/15
Retro City	Adventure Club	110.001		2012/8/13
Wait	Adventure Club	127.999		2012/6/17
Dream On	Aerosmith	149.44		2010/7/8
Dream On (GRiZ Remix)	Aerosmith	164.001	Fm	2013/7/10
We're Famous	Aesop Rock	168.006	Dbm	2010/9/24
11:35	Aesop Rock	110.003		2010/3/19
Mars Attacks	Aesop Rock	140.005	Gm	2010/3/19
None Shall Pass	Aesop Rock	116		2010/7/8
Labor	Aesop Rock	163.998	Abm	2010/7/8
Daylight	Aesop Rock	93.997		2010/7/8
6B Panorama	Aesop Rock	92.006		2010/7/8
Attention Span	Aesop Rock	166.011	Ebm	2010/7/8
Battery	Aesop Rock	155.996	Fm	2010/7/8
Take A Titty Out	Aesop Rock	120.002		2011/3/10
Who Wants Some	AFK & Spenca	174	Em	2013/5/28
Polkadots 2010 (Oliver Twizt Remix)	Afrojack	128	G	2012/2/1
Rock The House	Afrojack	130		2012/12/20
As Your Friend	Afrojack	128		2013/3/2
Can't Stop Now	Afrojack	130.001		2012/5/25
Doing It Right	Afrojack	130		2011/4/5
Fatality	Afrojack	128.001		2012/4/4
Prututa	Afrojack	130.006		2011/5/7
Take Over	Afrojack	130		2011/2/9
Louder Than Words	Afrojack & David Guetta	128.001		2011/10/2
Aces High Prutata	Afrojack & R3hab	130		2011/5/7
Colt 45	Afroman	98.994		2010/7/8
Because I Got High	Afroman	165.964		2010/7/8
Take On Me (Remix)	Aha	160.02		2010/7/8
Back In The Day (Remix)	Ahmad	160.565	Bbm	2010/7/8
Back In The Day	Ahmad	160.564	Bbm	2010/7/8
The Edge	Akala	106		2010/9/24
Flashing Lights (Diplo Remix)	Kanye West	126.992		2009/1/12
Right Now	Akon	138.002		2010/7/8
Beautiful	Akon	130.001		2010/7/8
Keep You Much Longer	Akon	120		2010/7/8
Troublemaker	Akon	121.999		2010/7/8
We Don't Care	Akon	119.999		2010/7/8
I'm So Paid	Akon	91.999		2010/7/8
Holla Holla	Akon	150		2010/7/8
Against The Grain	Akon	95		2010/7/8
Be With You	Akon	173.999	A	2010/7/8
Sunny Day	Akon	90		2010/7/8
Birthmark	Akon	164		2010/7/8
Over The Edge	Akon	127.998		2010/7/8
Freedom	Akon	90		2010/7/8
Clap Again	Akon	100		2010/7/8
I Wanna Fuck You	Akon	99.999		2009/1/12
Don't Matter	Akon	125.201		2010/7/8
Smack That	Akon	118.999		2010/7/8
Struggle Everyday	Akon	150		2010/7/8
Locked Up	Akon	90.004		2010/7/8
Trouble Nobody	Akon	90.006		2010/7/8
Gangsta	Akon	95.0161	Am	2010/7/8
Ghetto	Akon	169.805		2010/7/8
Pot Of Gold	Akon	110.988		2010/7/8
Show Out	Akon	151.933		2010/7/8
Lonely	Akon	90.105		2010/7/8
When The Time's Right	Akon	154.577		2010/7/8
Journey	Akon	130.003		2010/7/8
Don't Let Up	Akon	95.008		2010/7/8
I Won't	Akon	99.975		2010/7/8
Locked Up (Remix)	Akon	90.001		2010/7/8
Kill The Dance (Got Something For Ya)	Akon	119.999		2010/7/8
Bonanza (Belly Dancer)	Akon	104.809		2010/7/8
Back On The Block	Akon	91.977		2010/7/8
Boomerang	Akon	129.047		2011/4/1
Can You Believe It	Akon	118.704		2010/7/8
Dangerous	Akon	117		2010/7/8
I'm Losing It	Akon	145.013	Gbm	2010/7/8
Party Animal	Akon	130.001		2010/3/19
Fresh Scream	Al Bizarre	128		2011/5/1
Get Crunk Get Buck	Al Kapone	156.005		2010/7/8
Rock This	Al Kapone	148.022	Em	2010/9/24
One Jump Ahead	Disney	115		2011/8/27
Bye Bye	Alana Davis	169.999	Gbm	2010/7/8
Cruelty (Wolfgang Gartner Remix)	Alaric	129		2012/8/25
Years (Project 46 Remix)	Alesso	128		2012/8/13
Years (Vocal Extended Mix)	Alesso	128		2012/8/13
Sweetest Ass In The World	Alex C.	135.992		2010/7/8
Too Close	Alex Clare	94.498		2012/6/17
Up All Night	Alex Clare	98		2012/6/17
Sister Wife (Star Slinger Remix)	Alex Winston	162.001	C	2011/5/30
Orange Sky	Alexi Murdoch	125.46		2010/7/8
Head Banger	Alfamega	150		2010/7/8
Diminishing Returns (Alvin Risk Remix)	Ali Love	140		2012/10/12
Them Bones	Alice In Chains	110		2010/7/8
Teenage Love Affair	Alicia Keys	121.043		2010/7/8
Empire State of Mind (Part II)	Alicia Keys	98		2010/7/8
Empire State Of Mind 2 (Remix)	Alicia Keys	93.202		2010/7/8
Smooth Criminal	Alien Ant Farm	126.894		2010/7/8
Peanut Butter (Moon Boots Remix)	Alison Valentine	103		2012/9/14
I Need A Dollar	Aloe Blacc	95.673		2010/3/19
Zoom!	Alvin Risk	128.001		2013/6/4
Put Em Up	Alvin Risk	140		2013/6/4
Tr0nce	Alvin Risk	172.001	Em	2013/6/4
Wash Dat	Alvin Risk	140		2013/6/4
Baby (Upside Down)	Alvita	128		2012/1/23
The Potential Breakup Song	Aly & AJ	158.01	Gbm	2013/5/28
Sabali (Miike Snow Remix)	Amadou & Mariam	124		2011/1/19
Might Like You Better	Amanda Blank	120.001		2011/3/29
Shame On Me	Amanda Blank	125		2011/3/29
Flavor Of The Week	American Hi-Fi	153.105		2010/7/8
Those Days (Viceroy Remix)	Amtrac	124		2012/10/27
I Do	Andre 3000	144.999		2010/9/24
Ayo for Yayo	Andre Nickatina	128.478		2010/7/8
Cadillac Girl	Mac Dre	119.486		2010/7/8
Don't Go	Andre Visior	136		2010/7/8
Need Your Love (Phonat Remix)	Andrew Bayer	174.002	Gbm	2013/8/23
Party Hard	Andrew W.K.	162.097		2010/7/8
Funk Nasty (Wolfgang Gartner Remix)	Andy Caldwell	128.003		2012/8/25
Always Getting Over	Angela Ammons	92.839		2011/3/19
Daily Routine (Phaseone Remix)	Animal Collective	160		2010/12/8
Ring My Bell (Kill Paris Remix)	Anita Baker	109.999		2013/1/29
Anthonio (Designer Drugs Remix)	Annie	130	Em	2010/7/8
God of Joy (Dionysus)	Anthem	125.001		2011/3/29
I'm Cool	Anthony Hamilton	151.999		2010/7/8
Spend It	Antiserum & Mayhem	150.003		2012/12/3
Whatever You Like (Cover)	Anya Marina	122		2010/7/8
Nowhere To Run (Datsik & Excision Remix)	Apex	140.004		2011/3/24
You Don't Know Me	Apparat	164.999	F	2011/12/1
Barbie Girl	Aqua	129.99		2010/7/8
Lollipop	Aqua	138.997		2010/7/8
Roses Are Red	Aqua	139.974		2008/12/7
Hard to Say I'm Sorry	Aquagen	139.999		2010/7/8
Sex (Is Not The End) (Radio Mix)	Aquarius	139.998		2010/7/8
Sprawl II (Mountains Beyond Mountains)	Arcade Fire	99.993		2012/9/14
We Ready	Archie Eversole	150.02		2010/7/8
Brrrat!	Armand Van Helden & Steve Aoki	132.05		2011/5/15
Shivers	Armin Van Buuren	135		2010/7/8
Control Freak	Armin Van Buuren	138		2010/7/8
Birth Of An Angel	Armin Van Buuren	134.999		2010/7/8
This Is What It Feels Like (Moiez Remix)	Armin Van Buuren	129.999		2013/5/8
Lark On My Go-Kart	Asher Roth	93.19		2010/3/19
I Love College	Asher Roth	172.403	Cm	2010/3/19
Roth Boys	Asher Roth	95		2010/7/8
Gotta Get Up	Asher Roth & Nottz	88.0002	Cm	2011/1/19
I Was Once Possibly Maybe Perhaps A King	Asking Alexandria	139.749	Cm	2011/4/22
My Heart Beats Like a Drum	ATC	132.144		2010/7/8
Sunshine	Atmosphere	91		2010/7/8
The Best Day	Atmosphere	97		2012/8/13
Always Coming Back Home To You	Atmosphere	90		2010/7/8
Became	Atmosphere	89		2012/3/2
Shoulda Known	Atmosphere	94.002		2010/7/8
Smart Went Crazy	Atmosphere	90.002		2010/7/8
Crystal Mathematics (Original Mix)	Au5, Shaz Sparks	145		2013/5/28
Thoughts (Crystal Castles Remix)	AudioDax	93.004		2011/3/29
Beast And The Harlot	Avenged Sevenfold	155.177	Dm	2010/7/8
Bat Country	Avenged Sevenfold	124.99		2010/7/8
Trashed and Scattered	Avenged Sevenfold	87.5928	Dm	2010/7/8
Seize the Day	Avenged Sevenfold	140.005		2010/7/8
Sidewinder	Avenged Sevenfold	169.32		2010/7/8
Betrayed	Avenged Sevenfold	129.996		2010/7/8
Unholy Confessions	Avenged Sevenfold	92.4613	Dm	2010/7/8
Chapter Four	Avenged Sevenfold	128.003		2010/7/8
Eternal Rest	Avenged Sevenfold	172		2010/7/8
Second Heartbeat	Avenged Sevenfold	92	Cm	2010/7/8
And All Things Will End	Avenged Sevenfold	103.983		2010/7/8
Silhouettes	Avicii	128		2012/12/20
Last Dance	Avicii	128		2012/9/14
Blessed	Avicii	126		2012/8/13
Don't Give Up On Us (Aylen & ThatMoment Remix)	Avicii	129	Ebm	2012/8/13
Electric Mastrubation	Avicii	128		2012/8/13
Fade Into Darkness	Avicii	126		2012/8/13
ID2	Avicii	129		2012/4/4
Levels (Cazzette NYC Mode Mix)	Avicii	128		2013/3/19
Levels (Skrillex Remix)	Avicii	139.998		2012/1/11
Levels (TheFatRat Remix)	Avicii	128		2012/9/14
Penguin	Avicii	125.001		2011/8/27
Seek Bromance	Avicii	126.003		2012/8/13
You're Gonna Love Again	Avicii & Nervo	126.001		2012/1/23
I Could Be The One	Avicii & Nicky Romero	128.002		2013/1/2
Crime	Avicii & Project 46	128		2013/3/2
Complicated	Avril Lavigne	155.976	F	2008/12/7
Sk8er Boi	Avril Lavigne	149.968	F	2008/12/7
Don't Tell Me	Avril Lavigne	130.14		2010/7/8
Smile	Avril Lavigne	105.001		2011/8/4
What The Hell	Avril Lavigne	150		2011/7/13
Guilty Filthy Soul	AWOLNATION	172.11		2010/12/8
Sail	AWOLNATION	119		2013/1/29
Damage Control (Original Mix)	Aylen	128		2013/7/24
Rapid Fire (Original Mix)	Aylen	128		2013/7/24
Street Life	AZ	171.001	Abm	2011/10/22
212	Azealia Banks	126		2012/4/4
Fuck Up The Fun	Azealia Banks	134.998		2012/4/4
Jumanji	Azealia Banks	158		2012/5/25
Gotta Drive	Ärsenik	93.005		2010/7/8
Whoa Now	B-Rich	95.179		2010/7/8
Leggo	B-Smyth	101.498		2013/5/28
Move Around	B.G.	158.237		2010/7/8
No Future	B.o.B	97.002		2011/3/29
Don't Break My Heart	B.o.B.	149.999		2010/7/8
Nothin On You (Remix)	B.o.B.	104.002		2010/7/8
Beast Mode	B.o.B	150.001		2010/12/8
Headband	B.o.B	97		2013/9/6
It's A Party	B.o.B	154.999		2011/5/15
New York New York	B.o.B	91.999		2011/3/24
Out of My Mind (Clark Kent Remix)	B.o.B	144.999		2012/10/12
Strange Clouds (Remix)	B.o.B	148.147	Abm	2012/2/15
Strange Clouds	B.o.B	153.92	Am	2011/10/2
My Sweet Baby	B.o.B.	125.347		2010/7/8
Camera	B.o.B.	111.999		2010/7/8
Cloud 9	B.o.B.	119.999		2010/6/8
My Story	B.o.B.	159.272		2010/7/8
Daddy	B.o.B.	168	A	2010/7/8
Haterz Everywhere	B.o.B.	138.999		2010/7/8
Lonely People	B.o.B.	147		2010/7/8
Use Your Love	B.o.B.	135.998		2010/7/8
Sing My Song	B.o.B.	157.8		2010/7/8
Gladiators	B.o.B.	152.397		2010/12/8
Fool For Love	B.o.B.	109.999		2010/3/19
Hip Hop Aint Dead	B.o.B.	150.002		2010/7/8
Don't Let Me Fall	B.o.B.	150		2010/9/24
Nothin On You	B.o.B.	103.999		2010/7/8
Past My Shades	B.o.B.	94.9969	Gbm	2010/7/8
Airplanes	B.o.B.	93.121		2010/6/8
Bet I	B.o.B.	133.997		2010/9/24
Ghost In The Machine	B.o.B.	159.996	Cm	2010/7/8
The Kids	B.o.B.	140.001		2010/7/8
Magic	B.o.B.	165	B	2010/6/8
Fame	B.o.B.	125.996		2010/7/8
Lovelier Than You	B.o.B.	154.981	Em	2010/7/8
5th Dimension	B.o.B.	90.9965	Dm	2010/7/8
Airplanes, Pt. II	B.o.B.	93		2010/7/8
Satellite	B.o.B.	143.996	Bb	2010/9/24
Created A Monster	B.o.B.	155.002		2010/7/8
Generation Lost	B.o.B.	96.999		2009/8/23
Grip Your Body	B.o.B.	90.001		2010/7/8
I Feed These Streets	B.o.B.	165.004	G	2010/7/8
Left Field	B.o.B.	91.144		2010/7/8
Mello Fellow	B.o.B.	100.002		2010/7/8
Middle Of the Day	B.o.B.	125		2010/7/8
I'll Be In The Sky	B.o.B.	124.999		2010/7/8
Harlem Shake	Baauer	139.999		2012/12/3
Yaow	Baauer	142.001		2012/12/3
Dum Dum	Baauer	155.003	Bbm	2012/4/9
Cyclone	Baby Bash	156		2010/7/8
This Is The Way We Live	Baby Boy Da Prince	90.003		2010/7/8
Aye	Baby Huey	158.003		2010/7/8
Pop, Lock, And Drop It	Baby Huey	144.001		2010/7/8
We've Got It Goin' On	Backstreet Boys	112.979		2010/7/8
Quit Playing Games (With My Heart)	Backstreet Boys	100.011		2010/7/8
As Long As You Love Me	Backstreet Boys	98.207		2010/7/8
Everybody (Backstreet's Back)	Backstreet Boys	108.05		2010/7/8
All I Have To Give	Backstreet Boys	96.002		2010/7/8
Anywhere For You	Backstreet Boys	129.636		2010/7/8
Hey Mr. DJ (Keep Playin' This Song)	Backstreet Boys	92.003		2010/7/8
I'll Never Break Your Heart	Backstreet Boys	162.121		2010/7/8
Darlin'	Backstreet Boys	122.044		2010/7/8
Get Down (You're The One For Me)	Backstreet Boys	113.027		2010/7/8
Set Adrift On Memory Bliss	Backstreet Boys	165.8	G	2010/7/8
If You Want It To Be Good Girl (Get Yourself A Bad Boy)	Backstreet Boys	113.892		2010/7/8
Got That Feeling	Bad Boy Bill	130.114		2011/3/10
Oh, Why	Balam Acab	100		2012/2/15
See Birds	Balam Acab	129.998		2012/2/15
Here We Go Again	Baltimore Club	131.197		2011/2/25
The Funeral (Sound Remedy Remix)	Band Of Horses	139.99		2012/5/29
The Funeral (Butch Clancy Remix)	Band Of Horses	139.999		2011/3/19
The Funeral	Band Of Horses	125.56		2010/7/8
Warm Water (Snakehips Remix)	Banks	106		2013/7/17
Piano Tune	Bar 9	140.001		2011/10/22
Pursuit of Happiness (Cover)	Barbara	102		2010/3/19
King Kong (Bare VIP)	Bare & Datsik	140.005		2013/2/19
King Kong (Terravita Remix)	Bare & Datsik	174.008	Abm	2013/2/19
King Kong	Bare & Datsik	139.996		2013/2/28
On The Move	Barthezz	142.811		2010/7/8
Helium (Wolfgang Gartner Remix)	Bass Kleph & Anthony Paul	129.001		2010/9/27
Vi Sitter I Ventrilo Och Spelar Dota	Basshunter	140.001		2010/7/8
Boten Anna	Basshunter	139.999		2010/7/8
Professional Party People	Basshunter	141.998		2010/7/8
I'm Your Basscreator	Basshunter	145		2010/7/8
Upside Down (Bassnectar & Terravita Remix)	Bassnectar	98		2012/1/23
Red Step (Steve Aoki Remix)	Bassnectar & Jansten	130.001		2012/1/23
Heads Up (The Glitch Mob Remix)	Bassnectar	150		2012/1/23
Voodoo (Beats Antique Remix)	Bassnectar	94.9995		2012/1/23
Freestyle	Bassnectar	140		2012/11/10
Breathless	Bassnectar	175	Gm	2012/11/10
Hologram	Bassnectar	140		2012/11/10
Infinite	Bassnectar	88.0004	C	2012/11/10
Human (Bassnectar Remixxx)	Zion I	172	G	2012/11/10
