Player	2016 Fantasy Points	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Ramon Sessions	9.9	-4.103	0.364	-0.122	-0.862	-0.82	-1.01	0.001	-0.815	-0.839	0.47	47.3	75.6	0.4	9.9	2.5	2.9	0.6	0.1	1.4
Paul Millsap	17.1	6.455	0.305	-0.113	-0.254	0.741	1.54	0.197	1.943	2.096	-0.821	47	75.7	0.9	17.1	9	3.3	1.8	1.7	2.4
Anthony Davis	24.3	7.336	0.757	-0.103	-0.619	2.301	2.05	-0.49	0.793	2.647	-0.305	49.3	75.8	0.6	24.3	10.3	1.9	1.3	2	2
Derrick Williams	9.3	-5.393	-0.087	-0.103	-0.619	-0.95	-0.539	-0.981	-1.275	-0.839	1.244	45	75.8	0.6	9.3	3.7	0.9	0.4	0.1	0.8
George Hill	12.1	-0.418	-0.264	-0.084	0.72	-0.343	-0.422	0.296	0.334	-0.655	0.47	44.1	76	1.7	12.1	4	3.5	1.1	0.2	1.4
Tony Parker	11.9	-1.455	0.757	-0.084	-0.862	-0.386	-1.049	1.18	-0.356	-0.655	-0.047	49.3	76	0.4	11.9	2.4	5.3	0.8	0.2	1.8
Andrew Wiggins	20.7	0.201	0.089	-0.075	-0.497	1.521	-0.578	-0.441	0.104	0.078	-0.563	45.9	76.1	0.7	20.7	3.6	2	1	0.6	2.2
Jonas Valanciunas	12.8	1.143	2.17	-0.075	-1.349	-0.191	1.579	-1.079	-1.275	1.363	0.47	56.5	76.1	0	12.8	9.1	0.7	0.4	1.3	1.4
Harrison Barnes	11.7	-2.244	0.227	-0.075	0.111	-0.43	-0.068	-0.539	-0.815	-0.655	1.115	46.6	76.1	1.2	11.7	4.9	1.8	0.6	0.2	0.9
Meyers Leonard	8.4	-4.106	-0.127	-0.075	0.355	-1.145	0.01	-0.687	-1.965	-0.472	0.599	44.8	76.1	1.4	8.4	5.1	1.5	0.1	0.3	1.3
Jon Leuer	8.5	-3.067	0.521	-0.065	-0.619	-1.123	0.206	-0.883	-0.815	-0.289	0.857	48.1	76.2	0.6	8.5	5.6	1.1	0.6	0.4	1.1
Shabazz Muhammad	10.5	-5.439	0.207	-0.046	-0.741	-0.69	-0.696	-1.129	-1.505	-0.839	1.115	46.5	76.4	0.5	10.5	3.3	0.6	0.3	0.1	0.9
Cory Joseph	8.5	-4.034	-0.303	-0.046	-0.862	-1.123	-0.971	0.099	-0.356	-0.472	0.599	43.9	76.4	0.4	8.5	2.6	3.1	0.8	0.3	1.3
Bradley Beal	17.4	0.437	-0.107	-0.018	0.963	0.806	-0.657	0.001	0.104	-0.655	-0.305	44.9	76.7	1.9	17.4	3.4	2.9	1	0.2	2
Gerald Henderson	8.7	-5.2	-0.303	-0.018	-0.497	-1.08	-0.853	-0.932	-1.045	-0.472	1.115	43.9	76.7	0.7	8.7	2.9	1	0.5	0.3	0.9
Jabari Parker	14.1	-1.342	0.757	-0.008	-1.228	0.091	0.049	-0.588	-0.126	-0.289	0.341	49.3	76.8	0.1	14.1	5.2	1.7	0.9	0.4	1.5
Zaza Pachulia	8.6	-1.95	0.227	-0.008	-1.349	-1.101	1.697	-0.588	-0.356	-0.472	0.211	46.6	76.8	0	8.6	9.4	1.7	0.8	0.3	1.6
