geoid	pop	white	black	amerind	asian	hawaiian	other	two	hispanic	povrate	income	noed	high	associates	bachelors	masters	prof	phd
110010080022	2325	1408	655	0	73	0	57	132	139	0.083261432	56466	0.087981599	0.220816561	0.027027027	0.249568718	0.26106958	0.089131685	0.06440483
110010081001	584	500	41	0	43	0	0	0	33	0	68870	0	0.075431034	0.00862069	0.521551724	0.275862069	0.096982759	0.021551724
110010081002	1768	1249	432	0	20	0	23	44	93	0.050115207	59009	0.043382353	0.213970588	0.033823529	0.330147059	0.253676471	0.059558824	0.065441176
110010081003	944	902	0	0	11	0	8	23	72	0.047669492	91459	0	0.119422572	0	0.355643045	0.265091864	0.186351706	0.073490814
110010082001	661	625	25	0	0	0	0	11	31	0.019667171	114343	0.014234875	0.101423488	0	0.163701068	0.320284698	0.245551601	0.15480427
110010082002	2343	2016	100	0	103	0	21	103	147	0.102893891	63172	0.00109529	0.048192771	0.015334064	0.533406353	0.226177437	0.136363636	0.039430449
110010083011	1182	794	244	0	84	0	31	29	106	0.077834179	62408	0.069148936	0.081914894	0	0.439361702	0.281914894	0.1	0.027659574
110010083012	1501	1270	98	0	66	0	0	67	48	0.078929307	61097	0	0.106679035	0.017625232	0.372912801	0.27458256	0.148423006	0.079777365
110010083021	2376	1748	467	22	67	0	6	66	167	0.059602649	63519	0.048741296	0.104445635	0.004820568	0.376539904	0.302088913	0.109801821	0.053561864
110010084021	1205	548	605	0	33	0	0	19	30	0.071369295	44685	0.098522167	0.321182266	0	0.209852217	0.322167488	0.028571429	0.019704433
110010084022	963	587	350	0	7	0	11	8	56	0.175420168	53043	0.146453089	0.207093822	0.028604119	0.347826087	0.169336384	0.058352403	0.042334096
110010084101	1404	513	804	0	46	0	8	33	116	0.071687183	42669	0.076635514	0.308411215	0.055140187	0.306542056	0.157943925	0.05046729	0.044859813
110010087011	1240	366	836	0	0	0	0	38	22	0.17700579	37169	0.183486239	0.350917431	0.013761468	0.186926606	0.186926606	0.033256881	0.044724771
110010087012	1093	187	898	0	0	0	0	8	5	0.127172919	27014	0.168446026	0.462633452	0.06168446	0.185053381	0.112692764	0.004744958	0.004744958
110010087021	1552	163	1121	0	0	0	255	13	278	0.19007732	24163	0.202247191	0.507660878	0.081716037	0.121552605	0.083758938	0.003064351	0
110010087022	570	108	443	0	6	0	13	0	13	0.224561404	35564	0.182795699	0.301075269	0.015053763	0.251612903	0.139784946	0.109677419	0
110010088021	524	19	469	8	21	0	0	7	0	0.437022901	26066	0.165853659	0.63902439	0	0.095121951	0.082926829	0	0.017073171
110010088022	1379	165	1206	0	0	0	8	0	0	0.412617839	18860	0.235294118	0.459694989	0.027233115	0.194989107	0.071895425	0.010893246	0
110010088023	1092	227	753	46	0	0	0	66	13	0.191705069	32959	0.089585666	0.59462486	0.024636058	0.159014558	0.101903695	0.030235162	0
110010088024	1488	150	1259	0	45	0	19	15	0	0.307123656	26237	0.181017613	0.532289628	0.032289628	0.102739726	0.107632094	0.008806262	0.035225049
110010088031	2099	597	1215	8	54	0	164	61	239	0.52207591	12156	0.232443126	0.608308605	0.027695351	0.080118694	0.044510386	0.006923838	0
110010088041	944	68	811	0	0	0	65	0	46	0.098272138	26883	0.134052388	0.55624037	0.043143297	0.12788906	0.097072419	0	0.041602465
110010088042	1746	27	1509	0	0	0	139	71	139	0.481099656	14934	0.368932039	0.513816281	0.026885736	0.070201643	0.020164302	0	0
110010089031	1891	131	1610	0	0	0	100	50	235	0.286322512	26098	0.213728549	0.588923557	0	0.117784711	0.06474259	0.014820593	0
110010089032	1184	0	1148	0	0	0	0	36	0	0.397804054	12880	0.316742081	0.515837104	0.018099548	0.082956259	0.066365008	0	0
110010089041	2207	18	2110	0	0	0	30	49	30	0.266878115	19492	0.24131016	0.56684492	0.067513369	0.085561497	0.038770053	0	0
110010089042	1037	64	692	0	51	0	230	0	291	0.278688525	22971	0.389891697	0.428399519	0	0.12755716	0.0433213	0.010830325	0
110010090001	1585	23	1544	0	0	0	0	18	29	0.182334385	34724	0.177462289	0.415261757	0.075421473	0.154392192	0.114463177	0.015971606	0.047027507
110010090002	1382	45	1327	0	10	0	0	0	10	0.141099855	41870	0.185004075	0.501222494	0.066829666	0.093724531	0.079054605	0.033414833	0.040749796
110010091021	732	141	484	0	0	0	107	0	200	0.051912568	28358	0.123203285	0.45174538	0.020533881	0.283367556	0.100616016	0.012320329	0.008213552
110010091022	2467	193	2214	0	18	0	6	36	13	0.318260121	19509	0.202337023	0.584255843	0.051660517	0.116851169	0.044895449	0	0
110010091023	2030	0	2006	0	16	0	8	0	59	0.381280788	11531	0.278131635	0.596602972	0.057324841	0.045647558	0.022292994	0	0
110010092011	1709	563	998	3	15	0	30	100	103	0.236783321	25245	0.150517404	0.400752587	0.028222013	0.120413923	0.153339605	0.078080903	0.068673565
110010092031	1049	51	834	0	0	0	12	152	103	0.183984747	28370	0.150470219	0.561128527	0	0.136363636	0.112852665	0	0.039184953
110010092032	1560	276	1151	0	0	0	60	73	161	0.133974359	37260	0.177655678	0.243589744	0.044871795	0.324175824	0.181318681	0.009157509	0.019230769
110010092041	782	112	543	0	20	0	78	29	102	0.21483376	25616	0.18445122	0.414634146	0.042682927	0.153963415	0.094512195	0.089939024	0.019817073
110010092042	2148	164	1699	0	9	0	265	11	504	0.439478585	13297	0.200462606	0.686969931	0.018504241	0.094063223	0	0	0
110010093011	795	109	610	49	11	0	0	16	49	0.201257862	43604	0.011844332	0.409475465	0.089678511	0.197969543	0.214890017	0.076142132	0
110010093012	965	401	496	0	21	0	11	36	16	0.155370177	41983	0.056748466	0.323619632	0	0.20398773	0.312883436	0.096625767	0.006134969
